
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Surface area (sq. km)","AG.SRF.TOTL.K2","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","","",
"Africa Eastern and Southern","AFE","Surface area (sq. km)","AG.SRF.TOTL.K2","","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15106741","15142775.16","15142774.203","15142743.95","15142711.777","15142728.479","15142740.8","15142735.478","15142981.019","15162047.65","15162015.508","15162002.015","15162055.605","15162042.944","15162037.218","15162043.387","15162047.206","15162006.027","15162006.027","15162009.027","","",
"Afghanistan","AFG","Surface area (sq. km)","AG.SRF.TOTL.K2","","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","","",
"Africa Western and Central","AFW","Surface area (sq. km)","AG.SRF.TOTL.K2","","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166270","9166243","9166243","9166243","9166243","","",
"Angola","AGO","Surface area (sq. km)","AG.SRF.TOTL.K2","","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","","",
"Albania","ALB","Surface area (sq. km)","AG.SRF.TOTL.K2","","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","","",
"Andorra","AND","Surface area (sq. km)","AG.SRF.TOTL.K2","","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","","",
"Arab World","ARB","Surface area (sq. km)","AG.SRF.TOTL.K2","","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796798.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796818.9","13796828.9","13796838.9","13796848.9","13796848.9","13796858.9","13796868.9","13794328.9","13794330.9","13794335.9","13166528.9","13166340.9","13166221.9","13166229.9","13166230.9","13166231.9","13166231.9","13166232.9","13166234.9","13166242.9","13160217.9","","",
"United Arab Emirates","ARE","Surface area (sq. km)","AG.SRF.TOTL.K2","","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","98647.9","","",
"Argentina","ARG","Surface area (sq. km)","AG.SRF.TOTL.K2","","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","","",
